	Name	Nationality
11271	O. Fisher	Jamaica
11272	R. Leal	Costa Rica
11273	Raphael Guzzo	Portugal
11274	R. Mmaee	Belgium
11275	S. van Wermeskerken	Japan
11276	Kim Seung Joon	Korea Republic
11277	T. Campbell	England
11278	T. Morena	South Africa
11279	Pastrana	Spain
11280	A. Arnarson	Iceland
11281	A. Gersbach	Australia
11282	A. Tashaev	Russia
11283	A. Pellegrino	Norway
11284	A. Schenetti	Italy
11285	Li Ang	China PR
11286	A. Mina	Ecuador
11287	B. Warland	Australia
11288	B. Touré	Ivory Coast
11289	B. Cmiljani?	Montenegro
11290	B. Hendriksson Olsen	Faroe Islands
11291	C. Colkett	England
11292	C. Doidge	Wales
11293	C. Leemans	Netherlands
11294	Crislan	Brazil
11295	D. Gorman	Northern Ireland
11296	D. Roßbach	Germany
11297	D. Agazzi	Italy
11298	D. Mitov	Bulgaria
11299	E. Sánchez	Mexico
11300	F. Belli	Italy
11301	G. Strezos	Greece
11302	He Guan	China PR
11303	H. Charsley	Republic of Ireland
11304	Yin Hongbo	China PR
11305	Fu Huan	China PR
11306	H. Matynia	Poland
11307	Cai Huikang	China PR
11308	I. Poblete	Chile
11309	I. Provedel	Italy
11310	Iván Calero	Spain
11311	I. Colman	Argentina
11312	J. Ruddy	Scotland
11314	J. McDonagh	Northern Ireland
11315	Sun Jungang	China PR
11316	Li Lei	China PR
11317	M. Reinthaler	Italy
11318	M. ?ovilo	Serbia
11319	N. Giraldo	Colombia
11320	N. Chernov	Russia
11321	N. Husin	Afghanistan
11322	O. Aydo?an	Germany
11323	Q. Cornette	France
11324	Rafael Ramos	Portugal
11325	R. Castro	Bolivia
11326	R. Corlu	Denmark
11327	R. Alvarez	Chile
11328	R. van der Meer	Netherlands
11329	S. Kilic	France
11330	Sergio Gil	Spain
11331	S. Bolbat	Ukraine
11332	S. Bastoni	Italy
11333	S. Sefil	France
11334	S. Kroll	Germany
11335	T. Mauricio	France
11336	T. Denton	England
11337	U. Rivas	Mexico
11338	V. Jacob	France
11339	V. F?nd?kl?	Turkey
11340	A. Nemane	France
11341	A. Palmer	England
11342	A. Koselev	Moldova
11343	A. Gruber	Austria
11344	A. Walongwa	Congo
11345	B. Spittal	Scotland
11346	Gu Chao	China PR
11347	C. Chimino	Argentina
11348	E. Smith	Sweden
11349	E. Ersu	Turkey
11350	F. Noguera	Argentina
11351	F. Pellegrino	Argentina
11352	F. Ciampichetti	Argentina
11353	G. Esparza	Argentina
11354	G. Oakley	England
11355	G. Bettini	Argentina
11356	G. Stewart	Scotland
11357	H. Cardwell	Scotland
11358	J. Stobbs	England
11360	J. Hou Sæter	Norway
11362	J. Cabral	Argentina
11363	J. Lindseth	Norway
11364	J. Kayembe	Belgium
11365	Zeca	Brazil
11366	J. Lucero	Argentina
11367	J. Prior	France
11368	Shi Ke	China PR
11369	Kevin Sousa	Cape Verde
11370	K. Choi	Korea Republic
11371	Leandro Pereira	Brazil
11372	M. Mbamba	Cameroon
11374	M. Morishige	Japan
11375	M. Wdowiak	Poland
11376	M. Coppolaro	Italy
11377	M. Oesterhelweg	Germany
11378	M. Demetriou	England
11379	M. Madri	France
11380	M. Araz	Switzerland
11381	M. Alt?nta?	Turkey
11382	N. Aankour	Morocco
11384	N. Smith	England
11385	Pablo Pérez	Spain
11386	Xie Pengfei	China PR
11387	S. Grahovac	Bosnia Herzegovina
11388	S. Scougall	Scotland
11389	S. Dooley	Northern Ireland
11390	Mosquito	Brazil
11391	T. Touré	Ivory Coast
11392	V. Bora	Turkey
11393	V. Yurchenko	Ukraine
11394	V. Slivka	Lithuania
11395	W. Hahn	Netherlands
11396	Zhang Xizhe	China PR
11397	Y. Bnou-Marzouk	Morocco
11398	Z. Kalmár	Hungary
11399	A. Lang	Hungary
11400	A. Seck	Senegal
11401	A. Balboa	Uruguay
11402	A. El Messaoudi	Morocco
11404	A. Bjelica	Serbia
11405	A. Martinelli	Switzerland
11407	A. Gero	Nigeria
11408	B. Halliday	England
11409	Bruno Nazario	Brazil
11410	C. Dummigan	Northern Ireland
11411	C. Rivas	Colombia
11412	C. Bishop	England
11413	D. O'Shaughnessy	Finland
11414	D. Trickett-Smith	England
11415	D. Oyarzún	Chile
11416	D. Dibusz	Hungary
11417	E. Markkanen	Finland
11418	E. Gómez	Argentina
11419	E. Rovini	Italy
11420	Ewandro	Brazil
11421	Fabiano	Brazil
11422	F. Costa	Italy
11423	Fran Serrano	Spain
11424	F. Friday	Nigeria
11425	G. Ariyibi	United States
11426	Guille Donoso	Spain
11427	Iza Carcelén	Spain
11429	J. Vergara	Colombia
11430	Claude Gonçalves	Portugal
11431	J. Nuttall	England
11432	J. Wildsmith	England
11433	J. Gradit	France
11434	Juan Delgado	Spain
11435	J. Pereira	Colombia
11436	J. Fernández	Argentina
11437	K. Nagasawa	Japan
11438	K. Molino	Trinidad & Tobago
11439	K. Vassell	Northern Ireland
11440	L. Lezzerini	Italy
11442	L. Garrido	Honduras
11443	M. Aramu	Italy
11444	M. Rocca	Italy
11445	M. Kallesøe	Denmark
11446	M. Abarhoun	Morocco
11447	N. Orsini	Argentina
11448	Rubén Yáñez	Spain
11449	R. Di Gennaro	Italy
11450	R. Liégeois	France
11451	S. Mockenhaupt	Germany
11454	S. Gonda	Japan
11455	S. Minelli	Italy
11456	T. Holmes-Dennis	England
11457	T. Conlon	England
11458	T. Thompson	United States
11459	Y. Kashiwagi	Japan
11460	A. Aguerre	Argentina
11461	A. Rodríguez	Colombia
11462	C. Burgess	Australia
11463	C. Duffus	Republic of Ireland
11464	C. Brunner	Switzerland
11465	D. Musto	Argentina
11466	D. Banguero	Colombia
11467	D. Andrade	Colombia
11468	D. Melo	Chile
11469	D. Balanta	Colombia
11471	D. Braghieri	Argentina
11473	D. Islamovi?	Sweden
11474	E. Brítez	Argentina
11475	E. Kalinski	Argentina
11476	F. Holthaus	Germany
11477	F. Fontanini	Argentina
11478	F. Martin	France
11479	F. Mussis	Argentina
11480	F. Marquet	Belgium
11481	G. Gallon	France
11482	G. Kastaneer	Curacao
11483	G. Rólantsson	Faroe Islands
11484	G. Zabret	Slovenia
11485	G. Sara	Argentina
11486	H. Menosse	Uruguay
11487	J. Bandowski	Germany
11488	J. Cuero	Colombia
11490	J. Houwen	Netherlands
11491	J. Malagón	Colombia
11492	J. Aguilar	Chile
11493	J. Martínez	Chile
11495	L. Benegas	Argentina
11496	L. Shephard	Wales
11497	L. Bittante	Italy
11498	L. Casanova	Chile
11499	L. Cárdenas	Mexico
11500	L. Payares	Colombia
11501	Mario Barco	Spain
11502	M. Oikonomou	Greece
11503	M. Donoso	Chile
11504	M. Ibáñez	Argentina
11505	M. Bogado	Argentina
11506	M. Dávila	Chile
11507	M. Gouaida	Tunisia
11508	O. Ebrahimi	Iran
11509	P. Magalhães	Chile
11510	R. de la Fuente	Chile
11511	R. Farfán	Chile
11512	S. Martínez	Chile
11513	T. Trdina	Slovenia
11515	Tomás Podstawski	Portugal
11516	T. Lumanza Lembi	Belgium
11517	W. Ángel	Venezuela
11518	W. Mendieta	Paraguay
11519	Álvaro Peña	Spain
11520	A. Berzel	Germany
11521	A. McGowan	England
11522	A. Nabbout	Australia
11523	A. Semenov	Russia
11524	B. Islamkhan	Kazakhstan
11525	Bruno Mendes	Brazil
11526	C. Irwin	United States
11527	C. Wilkinson	Republic of Ireland
11529	D. Bohl	Germany
11530	Dani Quintana	Spain
11531	D. Wein	Germany
11532	D. Bakker	Netherlands
11533	D. Murillo	Colombia
11534	D. Rodríguez	Uruguay
11535	D. Nazarov	Azerbaijan
11536	E. Córdoba	Colombia
11537	E. Hurtado	United States
11538	F. Dabo	England
11539	F. Flores	Chile
11540	F. Michel	Lebanon
11541	F. Forte	Italy
11542	Gonçalo Silva	Portugal
11543	Koo Ja Ryong	Korea Republic
11544	J. Blyth	England
11545	J. Højbjerg	Denmark
11546	J. Kiesewetter	United States
11547	Park Ji Soo	Korea Republic
11548	J. Ring	Sweden
11549	J. Vanlerberghe	Belgium
11550	J. Radoševi?	Croatia
11551	J. Cevallos	Ecuador
11554	K. Coulibaly	France
11555	K. Gorré	Netherlands
11556	Lee Kwang Sun	Korea Republic
11557	L. Galeano	Argentina
11558	L. Pavez Muñoz	Chile
11559	L. Paz	Colombia
11560	M. Hartmann	Germany
11561	M. Willsch	Germany
11562	M. Caballero	Paraguay
11563	M. Seaton	Jamaica
11564	N. Townsend	England
11565	N. Vikonis	Uruguay
11566	P. Farman	England
11567	P. Heise	Germany
11568	Q. Moll	Germany
11569	R. Browne	Antigua & Barbuda
11570	Rodolfo	Brazil
11571	Rodrigo Dourado	Brazil
11572	S. Asamoah	Ghana
11573	S. Decarli	Switzerland
11575	Kim Seung Dae	Korea Republic
11576	S. Kritsyuk	Russia
11577	S. Barreiro	Colombia
11578	S. Koç	Germany
11579	T. Thiele	Germany
11580	A. Al Mayoof	Saudi Arabia
11581	A. Masi	Italy
11582	A. Rolin	Uruguay
11584	Bruno Moreira	Portugal
11585	C. McFadzean	Scotland
11586	C. Lavery	Northern Ireland
11587	Cassiano	Brazil
11588	C. Burgess	England
11589	C. Corvalán	Argentina
11590	C. Brown	Australia
11592	De La Hoz	Spain
11593	D. Buballa	Germany
11594	Derik	Spain
11595	E. Lee	England
11596	E. Saveljich	Montenegro
11597	F. Al Muwallad	Saudi Arabia
11598	F. Gallegos	Chile
11599	F. Bednarek	Poland
11600	F. Tardieu	France
11601	F. Amorebielsa	Venezuela
11602	F. Ladapo	England
11603	J. Rafferty	Republic of Ireland
11604	J. Adéoti	Benin
11605	J. Sinnott	England
11606	J. Van Rankin	Mexico
11607	K. Boutaïb	Morocco
11608	L. Capezzi	Italy
11609	L. Barrogios	Paraguay
11610	Luis Valcarce	Spain
11611	M. Eriksson	Sweden
11612	M. Rivoredo	Paraguay
11613	M. Etxeberría	Paraguay
11614	M. Baki?	Montenegro
11615	M. Maleti?	Bosnia Herzegovina
11616	M. Mohsen	Egypt
11617	M. Abero	Uruguay
11618	M. Pogba	Guinea
11619	M. Michel	France
11620	M. Kopczy?ski	Poland
11621	M. Herrera	Mexico
11622	M. Durak	Turkey
11623	M. Saymak	Netherlands
11624	O. Hein	Germany
11625	P. González	Mexico
11626	P. Bråtveit	Norway
11627	Pol García	Spain
11628	R. Abdullah	Comoros
11629	R. Thelander	Denmark
11630	R. Improta	Italy
11631	R. Willmott	England
11632	R. Godínez	Mexico
11634	S. Kavanagh	Republic of Ireland
11635	S. Kelly	Scotland
11636	S. Beltrame	Italy
11637	T. Tawatha	Israel
11638	T. Dähne	Germany
11639	Jung Woo Young	Korea Republic
11640	A. Sané	Senegal
11641	A. Al Hafith	Saudi Arabia
11642	A. Azeez	England
11643	A. Kurdi	Saudi Arabia
11644	A. Linde	Sweden
11645	A. Mills	England
11646	A. Wooten	United States
11648	A. Forde	Republic of Ireland
11649	A. Jung	Germany
11650	B. Sankoh	Guinea
11651	B. Behrendt	Germany
11652	C. Sánchez	Uruguay
11653	D. Adorni	Italy
11654	D. Riascos	Colombia
11655	E. Mathoho	South Africa
11656	E. Bush	United States
11657	F. Schnellhardt	Germany
11658	F. Pereyra	Argentina
11659	F. Diarra	Mali
11660	F. Hasani	FYR Macedonia
11661	F. Kiss	Slovakia
11662	G. Terziev	Bulgaria
11663	G. Espinoza	Chile
11664	I. Tandia	Mali
11665	I. Vassell	England
11666	J. Husband	England
11667	J. Pigott	England
11669	J. Roberts	England
11671	K. Rowe	United States
11672	K. Antonsen	Norway
11673	K. Luckassen	Netherlands
11674	K. Mayi	France
11675	L. Abecasis	Argentina
11676	Luís Leal	São Tomé & Príncipe
11677	M. Thiede	Germany
11678	M. Antonsson	Sweden
11679	M. Bjørnbak	Norway
11680	M. Bianchetti	Italy
11681	M. Pearson	England
11682	M. Belyaev	Russia
11683	M. Chacón	Netherlands
11684	M. Ihiekwe	England
11685	M. Mak	Poland
11686	M. Fornasier	Italy
11687	M. Eppel	Hungary
11688	O. Bulut	Germany
11689	P. Sweeney	Republic of Ireland
11690	R. Allassani	England
11691	R. Edwards	Australia
11692	R. Meara	Republic of Ireland
11693	S. Sandberg	Sweden
11694	S. Sluga	Croatia
11695	S. Benyamina	Germany
11697	T. Nguen	Norway
11698	W. Jobello	France
11699	Álvaro Lemos	Spain
11700	A. Razak	Ivory Coast
11702	A. Salifu	Ghana
11703	Patric	Brazil
11704	A. Stewart	England
11705	B. Nugent	England
11706	C. Kerbrat	France
11707	C. Edwards	England
11708	C. Good	Australia
11709	D. Keet	South Africa
11710	D. Bingham	United States
11711	D. Pavelka	Czech Republic
11712	Edenílson	Brazil
11713	E. Tønne	Norway
11714	Xavi Molina	Spain
11715	G. Hauche	Argentina
11716	G. Maluleka	South Africa
11717	G. Taft	England
11718	Kijera	Spain
11719	Yang Han Been	Korea Republic
11720	H. Kekana	South Africa
11721	Isaías	Spain
11722	J. Drost	Netherlands
11724	Serantes	Spain
11725	K. Otigba	Hungary
11726	K. Ntlhe	South Africa
11727	K. Adorján	Hungary
11728	L. Cole	England
11729	L. Thomas	Australia
11730	Muralha	Brazil
11731	M. Dupé	France
11732	M. Jeannin	Algeria
11733	M. Koch	Netherlands
11734	M. Smith	Northern Ireland
11735	M. de Leeuw	Netherlands
11736	M. Traoré	Mali
11737	N. Peñailillo	Chile
11738	O. Turton	England
11739	P. Kitchen	United States
11740	P. Bannister	England
11741	P. Steinhart	Germany
11742	R. Jackson	England
11743	R. Tunnicliffe	England
11744	S. Wootton	England
11745	S. McDermott	Republic of Ireland
11746	S. Maholli	Sweden
11747	S. Jombati	Portugal
11748	S. Kroon	Sweden
11749	S. Calvano	Italy
11750	Kim Soo Beom	Korea Republic
11751	S. May	Scotland
11752	Thiago Galhardo	Brazil
11753	T. Hemed	Israel
11754	T. Hoban	Republic of Ireland
11755	Welthon	Brazil
11756	W. Jordán	Colombia
11757	Y. Orozco	Venezuela
11758	Z. Clark	Scotland
11759	Alvaro Rey	Spain
11760	A. El Khayati	Netherlands
11761	A. Thomas	England
11762	A. Yasin	Iraq
11764	Gálvez	Spain
11765	A. Crescenzi	Italy
11766	A. Tutte	England
11767	A. Halliday	Scotland
11768	A. Sarcevic	England
11769	A. Özbiliz	Armenia
11770	Aridai	Spain
11771	B. Balaj	Albania
11772	B. Heneghan	England
11773	C. Hemlein	Germany
11774	D. Lafferty	Northern Ireland
11775	D. Tadi?	Austria
11776	D. Thomalla	Germany
11777	D. Escalante	Mexico
11778	Erik Morán	Spain
11779	E. Zavaleta	United States
11780	E. Lenjani	Albania
11781	F. Jensen	Norway
11782	Wang Gang	China PR
11783	J. Attinella	United States
11784	J. Kempin	United States
11785	J. Rivierez	France
11786	Pardo	Spain
11787	Marafona	Portugal
11788	Fernández	Spain
11789	J. Cuevas	Argentina
11790	K. Qaka	Albania
11791	K. Drygas	Poland
11792	K. Kusk	Denmark
11793	K. Marsh-Brown	Guyana
11794	L. Mendoza	Mexico
11795	M. Pérez	Colombia
11796	Marcos Pérez	Spain
11797	M. Deplagne	France
11798	M. Gorgelin	France
11799	M. R?du?	Romania
11800	M. Nelom	Netherlands
11801	M. Hernandez	Guatemala
11802	M. Yumlu	Turkey
11803	N. Proschwitz	Germany
11804	N. Oduamadi	Nigeria
11805	P. Chavarría	Argentina
11806	P. Malarczyk	Poland
11807	P. Parzyszek	Poland
11808	R. Aya	Italy
11809	Renato Neto	Brazil
11810	R. Smallwood	England
11811	R. Magyar	Sweden
11812	R. Métanire	Madagascar
11813	R. Allsop	England
11814	S. Lawless	Scotland
11815	T. Melia	United States
11816	V. Oliver	England
11817	V. Créhin	France
11818	W. Bruin	United States
11820	A. Wildig	England
11821	A. Diallo	Senegal
11822	Alan Santos	Brazil
11823	Guitián	Spain
11824	Cicinho	Brazil
11825	A. Ka?anikli?	Sweden
11826	A. Fink	Germany
11827	A. Zabolotnyy	Russia
11828	B. García	Honduras
11829	C. Orrantía	Mexico
11830	Gil	Brazil
11831	Tano Bonnin	Dominican Republic
11832	C. Benschop	Curacao
11833	D. Wilson	Scotland
11835	F. Moubandje	Switzerland
11836	G. Acosta	Mexico
11837	H. Mili?	Croatia
11839	I. Ivanov	Bulgaria
11841	J. Isijara	Mexico
11842	J. Sánchez	Peru
11843	João Vitor	Brazil
11844	Jucilei	Brazil
11845	J. Greguš	Slovakia
11846	K. Mkrtchyan	Armenia
11847	K. Appiah	Ghana
11848	L. Sané	Senegal
11849	L. Novak	England
11850	L. Moult	England
11851	L. Schmitz	Germany
11852	L. Hyam	England
11853	M. Gueye	Senegal
11854	Marc Mateu	Spain
11855	M. Büchel	Liechtenstein
11856	Mario Ortíz	Spain
11857	M. van der Maarel	Netherlands
11858	M. Defederico	Argentina
11859	M. Bourabia	Morocco
11860	M. Cestor	DR Congo
11861	M. Carretta	Italy
11862	N. Ben Khalifa	Switzerland
11863	N. Cameron	England
11864	O. Lee	England
11865	O. Jiménez	Mexico
11866	P. Farkas	Austria
11867	P. Morales	Chile
11868	P. Sliškovi?	Croatia
11869	Digão	Brazil
11870	S. Neville	Australia
11871	Júnior Dutra	Brazil
11872	S. Kurata	Japan
11873	S. Tecl	Czech Republic
11874	Yun Suk Young	Korea Republic
11875	S. Bertram	Germany
11876	Nam Tae Hee	Korea Republic
11877	T. Çamdal	Turkey
11878	T. Dangda	Thailand
11879	X. Kouassi	Ivory Coast
11880	A. DeLaGarza	Guam
11881	A. Meijers	Netherlands
11882	A. Ibrahim	Norway
11883	A. Kashi	Algeria
11884	Da Costa	Brazil
11885	B. Fornaroli	Uruguay
11886	C. Carmona	Chile
11887	C. Diabaté	Mali
11888	D. Powell	England
11889	D. Villalva	Argentina
11890	Lombán	Spain
11891	D. Sorgi?	Serbia
11892	D. N'Dinga	Congo
11893	D. Daube	Germany
11894	D. Telgenkamp	Netherlands
11895	D. Maroh	Slovenia
11896	E. Frimpong	Ghana
11897	F. Jungwirth	Germany
11898	F. Di Tacchio	Italy
11899	F. Tabanou	France
11900	F. Zuculini	Argentina
11901	G. Angella	Italy
11902	G. Assulin	Israel
11904	H. Afful	Ghana
11905	H. Ibusuki	Japan
11906	Javi Castellano	Spain
11907	Jeffrén	Venezuela
11908	Ríos Reina	Spain
11909	K. Hyland	Trinidad & Tobago
11910	L. DeVere	Australia
11911	L. O'Neill	England
11912	L. Waterfall	England
11913	M. Albæk	Denmark
11914	Marc Pedraza	Spain
11915	M. Marshall	Jamaica
11916	M. Caruzzo	Argentina
11917	M. Basha	Albania
11918	M. Britos	Uruguay
11919	M. Frantz	Germany
11920	M. Antenucci	Italy
11921	Camora	Portugal
11922	N. Ranger	England
11923	P. Madden	Republic of Ireland
11924	P. Coutts	Scotland
11925	R. Meggiorini	Italy
11926	R. Kiernan	Republic of Ireland
11927	R. Lundström	Sweden
11928	R. Austin	Jamaica
11929	R. Mason	England
11930	S. Bigalke	Germany
11931	S. Eriksson	Sweden
11932	S. Sararer	Turkey
11933	S. Colombi	Italy
11934	S. Hanni	Algeria
11935	T. Viúdez	Uruguay
11936	Tomeu Nadal	Spain
11937	V. Pálsson	Iceland
11938	V. Babacan	Turkey
11939	W. Moke	DR Congo
11940	A. Ogogo	England
11941	A. Smithies	England
11942	A. Stolz	Germany
11943	A. Kirm	Slovenia
11944	B. Sarmiento	Argentina
11945	C. Peña	Mexico
11946	Zhang Chengdong	China PR
11947	D. Gordon	Jamaica
11949	E. Knudtzon	Norway
11950	E. Conde	Uruguay
11951	F. Monzón	Argentina
11952	F. Acuña	Mexico
11953	J. Kalla	Germany
11954	J. Emmanuel-Thomas	England
11955	J. Leutwiler	Canada
11956	J. Molina	Mexico
11957	J. Thomassen	Norway
11958	J. Jacobson	Wales
11959	J. Mattock	England
11960	J. van den Bergh	Germany
11961	Juan Cala	Spain
11962	Keirrison	Brazil
11963	L. Vibe	Denmark
11964	Lu Lin	China PR
11965	L. Viatri	Argentina
11966	L. Ibáñez	Argentina
11967	Mano	Portugal
11968	Maicón	Brazil
11969	M. Bolatti	Argentina
11970	M. de Luna	Mexico
11971	M. Männel	Germany
11972	M. Coda	Italy
11973	M. Alustiza	Argentina
11975	M. Elito	England
11976	M. Albertazzi	Italy
11977	M. Kramer	Netherlands
11978	M. Ponce	Mexico
11979	M. Aleksandrov	Bulgaria
11980	M. Youssouf	Comoros
11981	M. Rabiu	Ghana
11982	M. Mešanovi?	Bosnia Herzegovina
11983	M. Yatabaré	Mali
11984	N. Tubi?	Serbia
11985	O. Lancashire	England
11986	O. K?vrak	Turkey
11988	P. Helland	Norway
11989	R. Wolf	Germany
11990	R. Noir	Argentina
11991	R. Gutiérrez	Chile
11992	Rúben Ribeiro	Portugal
11993	S. Ribas	Uruguay
11994	Simao Mate	Mozambique
11995	S. Hain	Germany
11996	T. Chevalier	France
11997	V. Lia	Australia
11998	Li Xuepeng	China PR
11999	Go Yo Han	Korea Republic
12000	Bueno	Spain
12001	A. Rosi	Italy
12002	Nenê	Brazil
12003	A. Luci	Italy
12004	A. Hainault	Canada
12005	A. Ríos	Argentina
12006	A. Williams	England
12007	A. Pilkington	Republic of Ireland
12008	Tomané	Portugal
12009	B. Olejnik	Austria
12010	Huang Bowen	China PR
12012	C. Seitz	United States
12013	Cleber Santana	Brazil
12014	D. Vrši?	Slovenia
12015	D. Cabrera	Mexico
12016	D. N'Gog	France
12017	D. Vržogi?	Germany
12018	D. McCarty	United States
12020	D. Ya Konan	Ivory Coast
12021	F. Ceravolo	Italy
12022	Fernando Boldrin	Brazil
12023	F. Morais	Portugal
12024	F. Moussa	Belgium
12025	G. Roberts	England
12026	G. Castro	Uruguay
12027	G. Tansey	England
12028	H. Özmert	Turkey
12029	J. Pearce	England
12030	J. Harris	England
12031	J. Zavala	Mexico
12032	J. Mousinho	England
12033	J. Harvey	United States
12035	J. Arce	Bolivia
12036	K. Özer	Turkey
12037	Lee Keun Ho	Korea Republic
12038	Yeom Ki Hun	Korea Republic
12039	L. Burián	Uruguay
12040	L. Stevenson	Scotland
12041	Rhodolfo	Brazil
12042	M. Wynne	United States
12043	M. Figueroa	Honduras
12044	N. Gerzi?	Sweden
12045	P. Bengtsson	Sweden
12046	R. Fernández	Argentina
12047	R. Zwinkels	Netherlands
12048	R. Gurtner	France
12049	R. Gíslason	Iceland
12050	S. Al Harbi	Saudi Arabia
12051	Sergio Sánchez	Spain
12052	Qin Sheng	China PR
12053	S. Church	Wales
12054	S. Aluko	Nigeria
12055	Kwoun Sun Tae	Korea Republic
12057	T. Necid	Czech Republic
12058	Zhao Xuri	China PR
12059	Wang Yongpo	China PR
12060	Kerlon	Brazil
12061	Nuno Mendes	Portugal
12062	A. Aldrete	Mexico
12063	A. Rodríguez	Peru
12064	A. Bruce	Northern Ireland
12065	A. Bukharov	Russia
12066	André Santos	Brazil
12067	A. Traoré	Senegal
12068	A. Lupoli	Italy
12069	B. Safari	Sweden
12070	B. Hämäläinen	Denmark
12071	Carmona	Spain
12072	Pita	Spain
12073	C. N'Zogbia	France
